product_name,pricing,ratings
Apple iPhone X (Silver| 64 GB),Rs.59999,4.65
Apple iPhone X (Space Gray| 64 GB),Rs.59999,4.65
Apple iPhone 6s (Rose Gold| 32 GB),Rs.29799,4.515
Apple iPhone XR (Black| 64 GB),Rs.59900,4.62
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.34900,4.54
Apple iPhone XR (Black| 128 GB),Rs.64900,4.62
Apple iPhone 6s (Gold| 32 GB),Rs.29799,4.515
Apple iPhone 6s (Silver| 32 GB),Rs.29799,4.55
Apple iPhone XR (White| 128 GB),Rs.64900,4.62
Apple iPhone 7 (Rose Gold| 128 GB),Rs.48999,4.5877
Apple iPhone XR (White| 64 GB),Rs.59900,4.62
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs.59900,4.62
Dainty Tempered Glass Guard for Apple iPhone 6s Plus,Rs.179,3.870
Apple iPhone 8 (Gold| 64 GB),Rs.58999,4.62
Apple iPhone 7 (Silver| 128 GB),Rs.48999,4.6473
Apple iPhone XR (Blue| 128 GB),Rs.64490,4.62
Apple iPhone XR (Coral| 128 GB),Rs.64900,4.62
Apple iPhone XR (Blue| 64 GB),Rs.59900,4.62
Apple iPhone 6s (Space Grey| 32 GB),Rs.29529,4.525
Apple iPhone 6s Plus (Gold| 32 GB),Rs.39990,4.44
Apple iPhone 6s Plus (Silver| 16 GB),Rs.39990,4.3428
Apple iPhone XR (Yellow| 256 GB),Rs.74900,4.62
Apple iPhone 8 (Space Grey| 64 GB),Rs.58999,4.62
Apple iPhone XR (Coral| 64 GB),Rs.59490,4.62
